上证指数	sh000001
三花智控	sz002050
中工国际	sz002051
同洲电子	sz002052
云南能投	sz002053
德美化工	sz002054
得润电子	sz002055
横店东磁	sz002056
中钢天源	sz002057
威尔泰	sz002058
云南旅游	sz002059
粤水电	sz002060
浙江交科	sz002061
宏润建设	sz002062
远光软件	sz002063
华峰氨纶	sz002064
东华软件	sz002065
瑞泰科技	sz002066
景兴纸业	sz002067
黑猫股份	sz002068
獐子岛	sz002069
众和退	sz002070
长城影视	sz002071
*ST凯瑞	sz002072
软控股份	sz002073
国轩高科	sz002074
沙钢股份	sz002075
雪莱特	sz002076
大港股份	sz002077
太阳纸业	sz002078
苏州固锝	sz002079
中材科技	sz002080
金螳螂	sz002081
万邦德	sz002082
孚日股份	sz002083
海鸥住工	sz002084
万丰奥威	sz002085
ST东海洋	sz002086
新野纺织	sz002087
鲁阳节能	sz002088
*ST新海	sz002089
金智科技	sz002090
江苏国泰	sz002091
中泰化学	sz002092
国脉科技	sz002093
青岛金王	sz002094
生意宝	sz002095
南岭民爆	sz002096
山河智能	sz002097
浔兴股份	sz002098
海翔药业	sz002099
天康生物	sz002100
广东鸿图	sz002101
ST冠福	sz002102
广博股份	sz002103
恒宝股份	sz002104
信隆健康	sz002105
莱宝高科	sz002106
沃华医药	sz002107
沧州明珠	sz002108
兴化股份	sz002109
三钢闽光	sz002110
威海广泰	sz002111
三变科技	sz002112
ST天润	sz002113
罗平锌电	sz002114
三维通信	sz002115
中国海诚	sz002116
东港股份	sz002117
紫鑫药业	sz002118
康强电子	sz002119
韵达股份	sz002120
科陆电子	sz002121
*ST天马	sz002122
梦网集团	sz002123
天邦股份	sz002124
湘潭电化	sz002125
银轮股份	sz002126
南极电商	sz002127
露天煤业	sz002128
中环股份	sz002129
沃尔核材	sz002130
利欧股份	sz002131
恒星科技	sz002132
广宇集团	sz002133
天津普林	sz002134
东南网架	sz002135
安纳达	sz002136
麦达数字	sz002137
顺络电子	sz002138
拓邦股份	sz002139
东华科技	sz002140
贤丰控股	sz002141
宁波银行	sz002142
*ST印纪	sz002143
宏达高科	sz002144
中核钛白	sz002145
荣盛发展	sz002146
ST新光	sz002147
北纬科技	sz002148
西部材料	sz002149
通润装备	sz002150
北斗星通	sz002151
广电运通	sz002152
石基信息	sz002153
报喜鸟	sz002154
湖南黄金	sz002155
通富微电	sz002156
正邦科技	sz002157
汉钟精机	sz002158
三特索道	sz002159
常铝股份	sz002160
远望谷	sz002161
悦心健康	sz002162
中航三鑫	sz002163
宁波东力	sz002164
红宝丽	sz002165
莱茵生物	sz002166
东方锆业	sz002167
惠程科技	sz002168
智光电气	sz002169
芭田股份	sz002170
楚江新材	sz002171
澳洋健康	sz002172
创新医疗	sz002173
游族网络	sz002174
*ST东网	sz002175
江特电机	sz002176
御银股份	sz002177
延华智能	sz002178
中航光电	sz002179
纳思达	sz002180
粤传媒	sz002181
云海金属	sz002182
怡亚通	sz002183
海得控制	sz002184
华天科技	sz002185
全聚德	sz002186
广百股份	sz002187
*ST巴士	sz002188
中光学	sz002189
*ST集成	sz002190
劲嘉股份	sz002191
融捷股份	sz002192
如意集团	sz002193
武汉凡谷	sz002194
二三四五	sz002195
方正电机	sz002196
证通电子	sz002197
嘉应制药	sz002198
东晶电子	sz002199
*ST云投	sz002200
九鼎新材	sz002201
金风科技	sz002202
海亮股份	sz002203
大连重工	sz002204
国统股份	sz002205
海利得	sz002206
ST准油	sz002207
合肥城建	sz002208
达意隆	sz002209
*ST飞马	sz002210
宏达新材	sz002211
南洋股份	sz002212
特尔佳	sz002213
大立科技	sz002214
诺普信	sz002215
三全食品	sz002216
合力泰	sz002217
拓日新能	sz002218
恒康医疗	sz002219
ST天宝	sz002220
东华能源	sz002221
福晶科技	sz002222
鱼跃医疗	sz002223
三力士	sz002224
濮耐股份	sz002225
江南化工	sz002226
奥特迅	sz002227
合兴包装	sz002228
鸿博股份	sz002229
科大讯飞	sz002230
奥维通信	sz002231
启明信息	sz002232
塔牌集团	sz002233
民和股份	sz002234
安妮股份	sz002235
大华股份	sz002236
恒邦股份	sz002237
天威视讯	sz002238
奥特佳	sz002239
威华股份	sz002240
歌尔股份	sz002241
九阳股份	sz002242
通产丽星	sz002243
滨江集团	sz002244
澳洋顺昌	sz002245
北化股份	sz002246
聚力文化	sz002247
华东数控	sz002248
大洋电机	sz002249
联化科技	sz002250
步步高	sz002251
上海莱士	sz002252
川大智胜	sz002253
泰和新材	sz002254
海陆重工	sz002255
兆新股份	sz002256
立立电子	sz002257
利尔化学	sz002258
*ST升达	sz002259
*ST德奥	sz002260
拓维信息	sz002261
恩华药业	sz002262
*ST东南	sz002263
新华都	sz002264
西仪股份	sz002265
浙富控股	sz002266
陕天然气	sz002267
卫士通	sz002268
美邦服饰	sz002269
华明装备	sz002270
东方雨虹	sz002271
川润股份	sz002272
水晶光电	sz002273
华昌化工	sz002274
桂林三金	sz002275
万马股份	sz002276
友阿股份	sz002277
神开股份	sz002278
久其软件	sz002279
联络互动	sz002280
光迅科技	sz002281
博深股份	sz002282
天润曲轴	sz002283
亚太股份	sz002284
世联行	sz002285
保龄宝	sz002286
奇正藏药	sz002287
超华科技	sz002288
*ST宇顺	sz002289
*ST中科	sz002290
星期六	sz002291
奥飞娱乐	sz002292
罗莱生活	sz002293
信立泰	sz002294
精艺股份	sz002295
辉煌科技	sz002296
博云新材	sz002297
中电兴发	sz002298
圣农发展	sz002299
太阳电缆	sz002300
齐心集团	sz002301
西部建设	sz002302
美盈森	sz002303
洋河股份	sz002304
南国置业	sz002305
ST云网	sz002306
北新路桥	sz002307
威创股份	sz002308
中利集团	sz002309
东方园林	sz002310
海大集团	sz002311
三泰控股	sz002312
日海智能	sz002313
南山控股	sz002314
焦点科技	sz002315
亚联发展	sz002316
众生药业	sz002317
久立特材	sz002318
乐通股份	sz002319
海峡股份	sz002320
华英农业	sz002321
理工环科	sz002322
*ST百特	sz002323
普利特	sz002324
洪涛股份	sz002325
永太科技	sz002326
富安娜	sz002327
新朋股份	sz002328
皇氏集团	sz002329
得利斯	sz002330
皖通科技	sz002331
仙琚制药	sz002332
*ST罗普	sz002333
英威腾	sz002334
科华恒盛	sz002335
*ST人乐	sz002336
赛象科技	sz002337
奥普光电	sz002338
积成电子	sz002339
格林美	sz002340
新纶科技	sz002341
巨力索具	sz002342
慈文传媒	sz002343
海宁皮城	sz002344
潮宏基	sz002345
柘中股份	sz002346
泰尔股份	sz002347
高乐股份	sz002348
精华制药	sz002349
北京科锐	sz002350
漫步者	sz002351
顺丰控股	sz002352
杰瑞股份	sz002353
天神娱乐	sz002354
兴民智通	sz002355
*ST赫美	sz002356
富临运业	sz002357
森源电气	sz002358
*ST北讯	sz002359
同德化工	sz002360
神剑股份	sz002361
汉王科技	sz002362
隆基机械	sz002363
中恒电气	sz002364
永安药业	sz002365
台海核电	sz002366
康力电梯	sz002367
太极股份	sz002368
卓翼科技	sz002369
亚太药业	sz002370
北方华创	sz002371
伟星新材	sz002372
千方科技	sz002373
丽鹏股份	sz002374
亚厦股份	sz002375
新北洋	sz002376
国创高新	sz002377
章源钨业	sz002378
宏创控股	sz002379
科远智慧	sz002380
双箭股份	sz002381
蓝帆医疗	sz002382
合众思壮	sz002383
东山精密	sz002384
大北农	sz002385
天原集团	sz002386
维信诺	sz002387
新亚制程	sz002388
航天彩虹	sz002389
信邦制药	sz002390
长青股份	sz002391
北京利尔	sz002392
力生制药	sz002393
联发股份	sz002394
双象股份	sz002395
星网锐捷	sz002396
梦洁股份	sz002397
建研集团	sz002398
海普瑞	sz002399
省广集团	sz002400
中远海科	sz002401
和而泰	sz002402
爱仕达	sz002403
嘉欣丝绸	sz002404
四维图新	sz002405
远东传动	sz002406
多氟多	sz002407
齐翔腾达	sz002408
雅克科技	sz002409
广联达	sz002410
延安必康	sz002411
汉森制药	sz002412
雷科防务	sz002413
高德红外	sz002414
海康威视	sz002415
爱施德	sz002416
深南股份	sz002417
康盛股份	sz002418
天虹股份	sz002419
*ST毅昌	sz002420
达实智能	sz002421
科伦药业	sz002422
中原特钢	sz002423
贵州百灵	sz002424
凯撒文化	sz002425
胜利精密	sz002426
*ST尤夫	sz002427
云南锗业	sz002428
兆驰股份	sz002429
杭氧股份	sz002430
棕榈股份	sz002431
九安医疗	sz002432
太安堂	sz002433
万里扬	sz002434
长江润发	sz002435
兴森科技	sz002436
誉衡药业	sz002437
江苏神通	sz002438
启明星辰	sz002439
闰土股份	sz002440
众业达	sz002441
龙星化工	sz002442
金洲管道	sz002443
巨星科技	sz002444
ST中南	sz002445
盛路通信	sz002446
晨鑫科技	sz002447
中原内配	sz002448
国星光电	sz002449
*ST康得	sz002450
摩恩电气	sz002451
长高集团	sz002452
华软科技	sz002453
松芝股份	sz002454
百川股份	sz002455
欧菲光	sz002456
青龙管业	sz002457
益生股份	sz002458
天业通联	sz002459
赣锋锂业	sz002460
珠江啤酒	sz002461
嘉事堂	sz002462
沪电股份	sz002463
众应互联	sz002464
海格通信	sz002465
天齐锂业	sz002466
二六三	sz002467
申通快递	sz002468
三维工程	sz002469
金正大	sz002470
中超控股	sz002471
双环传动	sz002472
圣莱达	sz002473
榕基软件	sz002474
立讯精密	sz002475
宝莫股份	sz002476
雏鹰退	sz002477
常宝股份	sz002478
富春环保	sz002479
新筑股份	sz002480
双塔食品	sz002481
广田集团	sz002482
润邦股份	sz002483
江海股份	sz002484
希努尔	sz002485
嘉麟杰	sz002486
大金重工	sz002487
金固股份	sz002488
浙江永强	sz002489
山东墨龙	sz002490
通鼎互联	sz002491
恒基达鑫	sz002492
荣盛石化	sz002493
华斯股份	sz002494
佳隆股份	sz002495
辉丰股份	sz002496
雅化集团	sz002497
汉缆股份	sz002498
*ST科林	sz002499
山西证券	sz002500
*ST利源	sz002501
鼎龙文化	sz002502
搜于特	sz002503
弘高创意	sz002504
大康农业	sz002505
协鑫集成	sz002506
涪陵榨菜	sz002507
老板电器	sz002508
天广中茂	sz002509
天汽模	sz002510
中顺洁柔	sz002511
达华智能	sz002512
蓝丰生化	sz002513
宝馨科技	sz002514
金字火腿	sz002515
旷达科技	sz002516
恺英网络	sz002517
科士达	sz002518
银河电子	sz002519
日发精机	sz002520
齐峰新材	sz002521
浙江众成	sz002522
天桥起重	sz002523
光正集团	sz002524
胜景山河	sz002525
山东矿机	sz002526
新时达	sz002527
英飞拓	sz002528
海源复材	sz002529
金财互联	sz002530
天顺风能	sz002531
新界泵业	sz002532
金杯电工	sz002533
杭锅股份	sz002534
林州重机	sz002535
飞龙股份	sz002536
海联金汇	sz002537
司尔特	sz002538
云图控股	sz002539
亚太科技	sz002540
鸿路钢构	sz002541
中化岩土	sz002542
万和电气	sz002543
杰赛科技	sz002544
东方铁塔	sz002545
新联电子	sz002546
春兴精工	sz002547
金新农	sz002548
凯美特气	sz002549
千红制药	sz002550
尚荣医疗	sz002551
宝鼎科技	sz002552
南方轴承	sz002553
惠博普	sz002554
三七互娱	sz002555
辉隆股份	sz002556
洽洽食品	sz002557
巨人网络	sz002558
亚威股份	sz002559
通达股份	sz002560
徐家汇	sz002561
兄弟科技	sz002562
森马服饰	sz002563
天沃科技	sz002564
顺灏股份	sz002565
益盛药业	sz002566
唐人神	sz002567
百润股份	sz002568
*ST步森	sz002569
贝因美	sz002570
德力股份	sz002571
索菲亚	sz002572
清新环境	sz002573
明牌珠宝	sz002574
群兴玩具	sz002575
通达动力	sz002576
雷柏科技	sz002577
闽发铝业	sz002578
中京电子	sz002579
圣阳股份	sz002580
未名医药	sz002581
好想你	sz002582
海能达	sz002583
西陇科学	sz002584
双星新材	sz002585
ST围海	sz002586
奥拓电子	sz002587
史丹利	sz002588
瑞康医药	sz002589
万安科技	sz002590
恒大高新	sz002591
八菱科技	sz002592
日上集团	sz002593
比亚迪	sz002594
豪迈科技	sz002595
海南瑞泽	sz002596
金禾实业	sz002597
山东章鼓	sz002598
盛通股份	sz002599
领益智造	sz002600
龙蟒佰利	sz002601
世纪华通	sz002602
以岭药业	sz002603
*ST龙力	sz002604
姚记科技	sz002605
大连电瓷	sz002606
中公教育	sz002607
江苏国信	sz002608
捷顺科技	sz002609
爱康科技	sz002610
东方精工	sz002611
朗姿股份	sz002612
北玻股份	sz002613
奥佳华	sz002614
哈尔斯	sz002615
长青集团	sz002616
露笑科技	sz002617
丹邦科技	sz002618
艾格拉斯	sz002619
瑞和股份	sz002620
美吉姆	sz002621
融钰集团	sz002622
亚玛顿	sz002623
完美世界	sz002624
光启技术	sz002625
金达威	sz002626
宜昌交运	sz002627
成都路桥	sz002628
*ST仁智	sz002629
华西能源	sz002630
德尔未来	sz002631
道明光学	sz002632
申科股份	sz002633
棒杰股份	sz002634
安洁科技	sz002635
金安国纪	sz002636
赞宇科技	sz002637
勤上股份	sz002638
雪人股份	sz002639
跨境通	sz002640
永高股份	sz002641
*ST荣联	sz002642
万润股份	sz002643
佛慈制药	sz002644
华宏科技	sz002645
青青稞酒	sz002646
仁东控股	sz002647
卫星石化	sz002648
博彦科技	sz002649
加加食品	sz002650
利君股份	sz002651
扬子新材	sz002652
海思科	sz002653
万润科技	sz002654
共达电声	sz002655
摩登大道	sz002656
中科金财	sz002657
雪迪龙	sz002658
凯文教育	sz002659
茂硕电源	sz002660
克明面业	sz002661
京威股份	sz002662
普邦股份	sz002663
长鹰信质	sz002664
首航节能	sz002665
德联集团	sz002666
鞍重股份	sz002667
奥马电器	sz002668
康达新材	sz002669
国盛金控	sz002670
龙泉股份	sz002671
东江环保	sz002672
西部证券	sz002673
兴业科技	sz002674
东诚药业	sz002675
顺威股份	sz002676
浙江美大	sz002677
珠江钢琴	sz002678
福建金森	sz002679
*ST长生	sz002680
奋达科技	sz002681
龙洲股份	sz002682
宏大爆破	sz002683
*ST猛狮	sz002684
华东重机	sz002685
亿利达	sz002686
乔治白	sz002687
金河生物	sz002688
远大智能	sz002689
美亚光电	sz002690
冀凯股份	sz002691
ST远程	sz002692
双成药业	sz002693
顾地科技	sz002694
煌上煌	sz002695
百洋股份	sz002696
红旗连锁	sz002697
博实股份	sz002698
美盛文化	sz002699
新疆浩源	sz002700
奥瑞金	sz002701
海欣食品	sz002702
浙江世宝	sz002703
新宝股份	sz002705
良信电器	sz002706
众信旅游	sz002707
光洋股份	sz002708
天赐材料	sz002709
慈铭体检	sz002710
*ST欧浦	sz002711
思美传媒	sz002712
东易日盛	sz002713
牧原股份	sz002714
登云股份	sz002715
金贵银业	sz002716
岭南股份	sz002717
友邦吊顶	sz002718
麦趣尔	sz002719
宏良股份	sz002720
金一文化	sz002721
金轮股份	sz002722
金莱特	sz002723
海洋王	sz002724
跃岭股份	sz002725
龙大肉食	sz002726
一心堂	sz002727
特一药业	sz002728
好利来	sz002729
电光科技	sz002730
萃华珠宝	sz002731
燕塘乳业	sz002732
雄韬股份	sz002733
利民股份	sz002734
王子新材	sz002735
国信证券	sz002736
葵花药业	sz002737
中矿资源	sz002738
万达电影	sz002739
爱迪尔	sz002740
光华科技	sz002741
三圣股份	sz002742
富煌钢构	sz002743
木林森	sz002745
仙坛股份	sz002746
埃斯顿	sz002747
世龙实业	sz002748
国光股份	sz002749
龙津药业	sz002750
易尚展示	sz002751
昇兴股份	sz002752
永东股份	sz002753
奥赛康	sz002755
永兴材料	sz002756
南兴股份	sz002757
华通医药	sz002758
天际股份	sz002759
凤形股份	sz002760
多喜爱	sz002761
金发拉比	sz002762
汇洁股份	sz002763
蓝黛传动	sz002765
*ST索菱	sz002766
先锋电子	sz002767
国恩股份	sz002768
普路通	sz002769
科迪乳业	sz002770
真视通	sz002771
众兴菌业	sz002772
康弘药业	sz002773
快意电梯	sz002774
文科园林	sz002775
柏堡龙	sz002776
久远银海	sz002777
高科石化	sz002778
中坚科技	sz002779
三夫户外	sz002780
奇信股份	sz002781
可立克	sz002782
凯龙股份	sz002783
万里石	sz002785
银宝山新	sz002786
华源控股	sz002787
鹭燕医药	sz002788
建艺集团	sz002789
瑞尔特	sz002790
坚朗五金	sz002791
通宇通讯	sz002792
东音股份	sz002793
永和智控	sz002795
世嘉科技	sz002796
第一创业	sz002797
帝欧家居	sz002798
环球印务	sz002799
天顺股份	sz002800
微光股份	sz002801
洪汇新材	sz002802
吉宏股份	sz002803
丰元股份	sz002805
华锋股份	sz002806
江阴银行	sz002807
恒久科技	sz002808
红墙股份	sz002809
山东赫达	sz002810
亚泰国际	sz002811
恩捷股份	sz002812
路畅科技	sz002813
崇达技术	sz002815
和科达	sz002816
黄山胶囊	sz002817
富森美	sz002818
东方中科	sz002819
桂发祥	sz002820
凯莱英	sz002821
中装建设	sz002822
凯中精密	sz002823
和胜股份	sz002824
纳尔股份	sz002825
易明医药	sz002826
高争民爆	sz002827
贝肯能源	sz002828
星网宇达	sz002829
名雕股份	sz002830
裕同科技	sz002831
比音勒芬	sz002832
弘亚数控	sz002833
同为股份	sz002835
新宏泽	sz002836
英维克	sz002837
道恩股份	sz002838
张家港行	sz002839
华统股份	sz002840
视源股份	sz002841
翔鹭钨业	sz002842
泰嘉股份	sz002843
同兴达	sz002845
英联股份	sz002846
盐津铺子	sz002847
高斯贝尔	sz002848
威星智能	sz002849
科达利	sz002850
麦格米特	sz002851
道道全	sz002852
皮阿诺	sz002853
捷荣技术	sz002855
美芝股份	sz002856
三晖电气	sz002857
力盛赛车	sz002858
洁美科技	sz002859
星帅尔	sz002860
瀛通通讯	sz002861
实丰文化	sz002862
今飞凯达	sz002863
盘龙药业	sz002864
钧达股份	sz002865
传艺科技	sz002866
周大生	sz002867
绿康生化	sz002868
金溢科技	sz002869
香山股份	sz002870
伟隆股份	sz002871
*ST天圣	sz002872
新天药业	sz002873
安奈儿	sz002875
三利谱	sz002876
智能自控	sz002877
元隆雅图	sz002878
长缆科技	sz002879
卫光生物	sz002880
美格智能	sz002881
金龙羽	sz002882
中设股份	sz002883
凌霄泵业	sz002884
京泉华	sz002885
沃特股份	sz002886
绿茵生态	sz002887
惠威科技	sz002888
东方嘉盛	sz002889
弘宇股份	sz002890
中宠股份	sz002891
科力尔	sz002892
华通热力	sz002893
川恒股份	sz002895
中大力德	sz002896
意华股份	sz002897
赛隆药业	sz002898
英派斯	sz002899
哈三联	sz002900
大博医疗	sz002901
铭普光磁	sz002902
宇环数控	sz002903
金逸影视	sz002905
华阳集团	sz002906
华森制药	sz002907
德生科技	sz002908
集泰股份	sz002909
庄园牧场	sz002910
佛燃股份	sz002911
中新赛克	sz002912
奥士康	sz002913
中欣氟材	sz002915
深南电路	sz002916
金奥博	sz002917
蒙娜丽莎	sz002918
名臣健康	sz002919
德赛西威	sz002920
联诚精密	sz002921
伊戈尔	sz002922
润都股份	sz002923
盈趣科技	sz002925
华西证券	sz002926
泰永长征	sz002927
华夏航空	sz002928
润建股份	sz002929
宏川智慧	sz002930
锋龙股份	sz002931
明德生物	sz002932
新兴装备	sz002933
天奥电子	sz002935
郑州银行	sz002936
兴瑞科技	sz002937
鹏鼎控股	sz002938
长城证券	sz002939
昂利康	sz002940
新疆交建	sz002941
新农股份	sz002942
宇晶股份	sz002943
华林证券	sz002945
新乳业	sz002946
恒铭达	sz002947
青岛银行	sz002948
华阳国际	sz002949
奥美医疗	sz002950
金时科技	sz002951
亚世光电	sz002952
日丰股份	sz002953
鸿合科技	sz002955
西麦食品	sz002956
科瑞技术	sz002957
青农商行	sz002958
小熊电器	sz002959
青鸟消防	sz002960
瑞达期货	sz002961
五方光电	sz002962
苏州银行	sz002966
中国广核	sz003816
国安GAC1	sz031005
阿胶EJC1	sz031007
攀钢AGP1	sz038011
钾肥JFP1	sz038014
盐湖YHP1	sz038015
集琦JQP1	sz038016
深发SFP1	sz038017
R-003	sz131800
R-007	sz131801
R-014	sz131802
R-028	sz131803
R-091	sz131805
R-182	sz131806
R-004	sz131809
R-001	sz131810
R-002	sz131811
RC-003	sz131900
RC-007	sz131901
RC-001	sz131910
RC-002	sz131911
瑞福进取	sz150001
大成优选	sz150002
建信优势	sz150003
同庆A	sz150006
同庆B	sz150007
瑞和小康	sz150008
瑞和远见	sz150009
估值优先	sz150010
估值进取	sz150011
中证100A	sz150012
中证100B	sz150013
合润A	sz150016
合润B	sz150017
银华稳进	sz150018
银华锐进	sz150019
汇利A	sz150020
汇利B	sz150021
深成指A	sz150022
深成指B	sz150023
景丰A	sz150025
景丰B	sz150026
添利B	sz150027
中证500A	sz150028
中证500B	sz150029
中证90A	sz150030
中证90B	sz150031
多利优先	sz150032
多利进取	sz150033
聚利A	sz150034
聚利B	sz150035
建信稳健	sz150036
建信进取	sz150037
万家利B	sz150038
鼎利A	sz150039
鼎利B	sz150040
天盈B	sz150041
利鑫B	sz150042
裕祥B	sz150043
增利A	sz150044
增利B	sz150045
丰利B	sz150046
消费A	sz150047
消费B	sz150048
消费收益	sz150049
消费进取	sz150050
沪深300A	sz150051
沪深300B	sz150052
泰达500A	sz150053
泰达500B	sz150054
500A	sz150055
500B	sz150056
中小300A	sz150057
中小300B	sz150058
资源A级	sz150059
资源B级	sz150060
丰泽B	sz150061
浦银增A	sz150062
浦银增B	sz150063
同瑞A	sz150064
同瑞B	sz150065
互利A	sz150066
互利B	sz150067
双翼B	sz150068
双力A	sz150069
双力B	sz150070
盛世A	sz150071
盛世B	sz150072
诺安稳健	sz150073
诺安进取	sz150075
浙商稳健	sz150076
浙商进取	sz150077
回报B	sz150078
通利债B	sz150079
双佳B	sz150080
双盈B	sz150081
信达利B	sz150082
深证100A	sz150083
深证100B	sz150084
中小板A	sz150085
中小板B	sz150086
信用B	sz150087
金鹰500A	sz150088
金鹰500B	sz150089
成长A	sz150090
成长B	sz150091
诺德300A	sz150092
诺德300B	sz150093
泰信400A	sz150094
泰信400B	sz150095
商品A	sz150096
商品B	sz150097
同庆800A	sz150098
同庆800B	sz150099
资源A	sz150100
资源B	sz150101
利众B	sz150102
HS300A	sz150104
HS300B	sz150105
中小A	sz150106
中小B	sz150107
同辉100A	sz150108
同辉100B	sz150109
华商500A	sz150110
华商500B	sz150111
深100A	sz150112
深100B	sz150113
惠裕B	sz150114
同丰B	sz150115
房地产A	sz150117
房地产B	sz150118
鼎利进取	sz150120
银河优先	sz150121
银河进取	sz150122
建信50A	sz150123
建信50B	sz150124
双增B	sz150127
工银增B	sz150128
丰利债B	sz150129
医药A	sz150130
医药B	sz150131
元盛B	sz150132
德信A	sz150133
德信B	sz150134
国富100A	sz150135
国富100B	sz150136
宝利B	sz150137
中证800A	sz150138
中证800B	sz150139
国金300A	sz150140
国金300B	sz150141
互利债B	sz150142
转债A级	sz150143
转债B级	sz150144
高贝塔A	sz150145
高贝塔B	sz150146
同利B	sz150147
医药800A	sz150148
医药800B	sz150149
有色800A	sz150150
有色800B	sz150151
创业板A	sz150152
创业板B	sz150153
惠丰B	sz150154
中银互B	sz150156
金融A	sz150157
金融B	sz150158
通福B	sz150160
惠鑫B	sz150161
可转债A	sz150164
可转债B	sz150165
银华300A	sz150167
银华300B	sz150168
恒生A	sz150169
恒生B	sz150170
证券A	sz150171
证券B	sz150172
TMT中证A	sz150173
TMT中ZB	sz150174
恒中企A	sz150175
恒中企B	sz150176
证保A	sz150177
证保B	sz150178
信息A	sz150179
信息B	sz150180
军工A	sz150181
军工B	sz150182
环保A	sz150184
环保B	sz150185
军工A级	sz150186
军工B级	sz150187
转债优先	sz150188
转债进取	sz150189
NCF环保A	sz150190
NCF环保B	sz150191
地产A	sz150192
地产B	sz150193
互联网A	sz150194
互联网B	sz150195
有色A	sz150196
有色B	sz150197
食品A	sz150198
食品B	sz150199
券商A	sz150200
券商B	sz150201
传媒A	sz150203
传媒B	sz150204
国防A	sz150205
国防B	sz150206
地产A端	sz150207
地产B端	sz150208
国企改A	sz150209
国企改B	sz150210
新能车A	sz150211
新能车B	sz150212
成长A级	sz150213
成长B级	sz150214
TMTA	sz150215
TMTB	sz150216
新能源A	sz150217
新能源B	sz150218
健康A	sz150219
健康B	sz150220
中航军A	sz150221
中航军B	sz150222
证券A级	sz150223
证券B级	sz150224
证保A级	sz150225
证保B级	sz150226
银行A	sz150227
银行B	sz150228
酒A	sz150229
酒B	sz150230
电子A	sz150231
电子B	sz150232
传媒业A	sz150233
传媒业B	sz150234
券商A级	sz150235
券商B级	sz150236
环保A级	sz150237
环保B级	sz150238
银行A级	sz150241
银行B级	sz150242
创业A	sz150243
创业B	sz150244
互联A	sz150245
互联B	sz150246
传媒A级	sz150247
传媒B级	sz150248
银行A端	sz150249
银行B端	sz150250
煤炭A	sz150251
煤炭B	sz150252
银行业A	sz150255
银行业B	sz150256
生物A	sz150257
生物B	sz150258
重组A	sz150259
重组B	sz150260
医疗A	sz150261
医疗B	sz150262
1000A	sz150263
1000B	sz150264
一带A	sz150265
一带B	sz150266
银行A类	sz150267
银行B类	sz150268
白酒A	sz150269
白酒B	sz150270
生物药A	sz150271
生物药B	sz150272
带路A	sz150273
带路B	sz150274
一带一A	sz150275
一带一B	sz150276
高铁A	sz150277
高铁B	sz150278
新能A	sz150279
新能B	sz150280
金融地A	sz150281
金融地B	sz150282
SW医药A	sz150283
SW医药B	sz150284
钢铁A	sz150287
钢铁B	sz150288
煤炭A级	sz150289
煤炭B级	sz150290
银行A份	sz150291
银行B份	sz150292
高铁A级	sz150293
高铁B级	sz150294
改革A	sz150295
改革B	sz150296
互联A级	sz150297
互联B级	sz150298
银行股A	sz150299
银行股B	sz150300
证券股A	sz150301
证券股B	sz150302
创业股A	sz150303
创业股B	sz150304
养老A	sz150305
养老B	sz150306
体育A	sz150307
体育B	sz150308
信息安A	sz150309
信息安B	sz150310
智能A	sz150311
智能B	sz150312
工业4A	sz150315
工业4B	sz150316
E金融A	sz150317
E金融B	sz150318
煤炭A基	sz150321
煤炭B基	sz150322
环保A端	sz150323
环保B端	sz150324
高铁A端	sz150325
高铁B端	sz150326
新能A级	sz150327
新能B级	sz150328
保险A	sz150329
保险B	sz150330
网金融A	sz150331
网金融B	sz150332
军工股A	sz150335
军工股B	sz150336
证券A基	sz150343
证券B基	sz150344
保证金	sz159001
招商快线	sz159003
添富快钱	sz159005
深100ETF	sz159901
中小板	sz159902
深成ETF	sz159903
深红利	sz159905
深成长	sz159906
中小300	sz159907
博时创业	sz159908
深TMT	sz159909
深F120	sz159910
民营ETF	sz159911
深300ETF	sz159912
深价值	sz159913
创业板	sz159915
深F60	sz159916
中小成长	sz159917
中创400	sz159918
300ETF	sz159919
恒生ETF	sz159920
中小等权	sz159921
500ETF	sz159922
100ETF	sz159923
300等权	sz159924
南方300	sz159925
国债ETF	sz159926
A300ETF	sz159927
消费ETF	sz159928
医药ETF	sz159929
能源ETF	sz159930
金融ETF	sz159931
500深ETF	sz159932
金地ETF	sz159933
黄金ETF	sz159934
景顺500	sz159935
可选消费	sz159936
博时黄金	sz159937
广发医药	sz159938
信息技术	sz159939
全指金融	sz159940
纳指ETF	sz159941
中创100	sz159942
深证ETF	sz159943
全指材料	sz159944
全指能源	sz159945
全指消费	sz159946
创业板EF	sz159948
创业板50	sz159949
深成指EF	sz159950
中关村A	sz159951
创业ETF	sz159952
工业ETF	sz159953
H股ETF	sz159954
创业板E	sz159955
创业板F	sz159956
创业板HX	sz159957
创业板ET	sz159958
央企ETF	sz159959
恒生国企	sz159960
深100	sz159961
四川国改	sz159962
恒生中国	sz159963
创业板PA	sz159964
央视50	sz159965
创蓝筹	sz159966
创成长	sz159967
深100P	sz159969
创业板FG	sz159971
民企100	sz159973
南方积配	sz160105
南方高增	sz160106
南方500	sz160119
南方50债	sz160123
南方香港	sz160125
南方金利	sz160128
南方永利	sz160130
南方聚利	sz160131
南方天元	sz160133
国企精明	sz160138
美国REIT	sz160140
南方配售	sz160142
国泰小盘	sz160211
国泰估值	sz160212
国泰价值	sz160215
国泰商品	sz160216
国泰民益	sz160220
创业板基	sz160223
